origin,dest,count
3741,339,22
3741,2472,10
3741,2883,11
3742,1200,41
3742,2395,56
3742,3018,102
3742,3725,33
3743,2063,100
3744,2066,8
3745,2067,10
3747,2071,26
3748,2072,41
3749,2075,57
3750,2783,44
3751,209,1
3751,505,2
3751,567,3
3751,1577,13
3751,1780,1
3751,1854,27
3751,2080,1
3751,2083,140
3752,1499,47
3752,2082,16
3753,661,23
3753,2083,1
3753,2167,19
3753,3753,69
3755,2086,31
3756,622,1
3756,1777,24
3756,1869,20
3756,2088,4
3757,1923,25
3757,2089,17
3758,2091,14
3760,2096,1
3760,2446,33
3762,2315,18
3763,1491,22
3763,1759,14
3763,1891,12
3763,2100,5
3763,2123,57
3763,2208,26
3763,2210,46
3763,2286,26
3765,1937,12
3765,2103,16
3765,2154,32
3766,2104,16
3766,2157,80
3769,1396,74
3769,2109,1
3770,2112,1
3771,1622,32
3771,2113,2
3772,2217,27
3772,2232,2
3772,2293,13
3772,2321,44
3774,2012,24
3774,2118,1
3775,779,2
3775,2121,34
3776,1190,89
3776,2122,30
3781,2129,4
3782,2334,10
3783,2375,14
3784,2397,1
3785,178,4
3785,1036,53
3785,2137,9
3785,2164,29
3786,209,3
3786,711,37
3786,1480,23
3786,1728,1
3786,2016,2
3786,2139,1
3786,2164,53
3786,2228,32
3786,2244,10
3786,2452,2
3787,911,69
3787,1065,44
3787,1132,44
3787,1390,41
3787,2140,10
3787,2334,52
3787,2359,24
3788,2142,26
3789,2016,1
3789,2143,48
3790,1859,38
3790,2144,45
3790,3790,23
3793,1930,45
3793,2147,1
3796,1696,39
3796,1756,74
3796,2103,80
3796,2154,5
3797,2155,13
3798,433,24
3798,2158,1
3799,1976,13
3799,2016,7
3799,2302,1
3799,2327,2
3799,2446,13
3799,2463,5
3800,2160,2
3801,1975,64
3801,2260,10
3801,3822,13
3805,2299,2
3806,2188,3
3807,623,2
3807,2167,37
3809,68,47
3809,229,80
3809,268,95
3809,1337,1
3809,1796,80
3809,2090,10
3809,2170,7
3809,2208,23
3809,2287,135
3809,2302,53
3809,2312,13
3809,2314,1
3809,2463,95
3809,3441,113
3809,3591,47
3809,3867,53
3809,3903,1
3810,399,15
3810,2070,21
3810,2301,6
3810,2452,4
3812,2174,2
3813,2145,4
3813,2175,2
3813,3813,29
3814,1305,38
3814,2176,2
3815,2197,21
3815,2256,8
3819,2338,2
3820,2184,7
3822,711,13
3822,2244,6
3823,2169,14
3823,2188,2
3824,2180,6
3824,2189,2
3827,2299,4
3828,2320,4
3828,2982,36
3830,1221,37
3830,1601,32
3830,1869,16
3830,2146,4
3830,2328,21
3830,3903,3
3831,2164,217
3831,2197,3
3831,2815,2
3833,1337,18
3833,2232,4
3834,2200,4
3836,2311,8
3837,1565,17
3837,1791,59
3837,2203,3
3838,850,16
3838,2208,19
3838,2312,12
3838,2749,13
3838,3032,10
3840,1907,134
3840,2167,18
3840,2283,37
3840,2328,2
3841,2484,1
3843,197,1
3843,1265,4
3843,1378,1
3843,1717,19
3843,1759,26
3843,1865,6
3843,2164,23
3843,2217,3
3847,2213,11
3848,482,3
