origin,dest,count
3410,2743,2
3412,1368,4
3412,1632,52
3414,1441,8
3415,689,16
3415,1344,19
3415,1445,12
3415,2686,11
3415,2952,10
3416,1339,2
3417,1016,16
3417,1340,3
3417,1835,24
3418,180,1
3418,761,1
3418,854,4
3418,1123,24
3418,1175,6
3418,1260,18
3418,1354,3
3418,1635,10
3420,1192,69
3420,1308,18
3420,1415,37
3420,1460,2
3422,2488,1
3427,1350,11
3429,353,3
3429,1340,75
3429,1352,3
3429,1387,31
3430,1631,2
3431,1149,40
3431,1173,16
3431,1226,12
3431,1332,22
3431,1354,2
3433,125,13
3433,1160,25
3433,1263,9
3433,1307,15
3433,1344,3
3433,1418,20
3433,1638,2
3433,2905,34
3433,3368,23
3436,2775,4
3441,543,3
3441,1368,2
3443,1463,5
3443,1559,3
3443,1620,3
3444,1374,11
3444,1440,4
3444,1460,1
3444,1635,2
3446,1621,4
3447,1379,4
3450,1382,3
3450,1384,3
3450,1415,27
3450,1872,3
3450,2835,31
3452,1384,3
3452,3543,8
3453,1385,1
3453,1566,2
3453,1571,18
3455,1387,5
3455,1393,146
3456,1340,24
3456,1388,6
3457,842,25
3457,854,20
3457,911,41
3457,1015,22
3457,1388,52
3457,1389,3
3457,1393,86
3457,1402,56
3457,1460,8
3457,1835,72
3457,2674,25
3457,2743,143
3460,827,40
3460,1393,3
3463,668,1
3463,1178,22
3463,1193,32
3463,2297,1
3463,3530,26
3464,1399,3
3467,981,13
3467,1058,18
3467,1183,22
3467,1371,39
3467,1390,21
3467,1402,25
3469,1192,3
3469,1404,4
3469,1447,19
3470,1418,3
3471,743,42
3471,958,47
3471,1351,7
3471,1371,49
3471,1404,34
3471,1407,4
3471,1422,5
3471,1475,40
3471,1621,20
3471,2809,11
3472,1149,20
3472,1409,2
3476,1441,2
3476,1635,7
3480,1178,1
3480,2835,1
3481,949,2
3481,1123,26
3481,1418,2
3481,1472,2
3482,1421,1
3482,1595,33
3486,1275,13
3486,1365,27
3486,1367,2
3486,1422,2
3486,1435,28
3486,1479,4
3486,1483,33
3486,1611,20
3486,2403,32
3486,2733,1
3486,2734,20
3488,1428,2
3491,1347,2
3491,1642,1
3492,1390,4
3492,1432,1
3498,170,8
3498,1440,2
3498,1635,143
3499,1038,13
3499,1441,1
3499,1633,24
3500,779,42
3500,906,16
3500,985,13
3500,1173,43
3500,1307,63
3500,1319,2
3500,1336,8
3500,1395,5
3500,1412,59
3500,1418,11
3500,1419,2
3500,1442,1
3500,1621,28
3500,1638,16
3500,2800,28
3500,2851,5
3500,3206,42
3503,1400,1
3503,1443,2
3503,1641,2
3505,1448,4
3505,1520,2
3506,902,26
3506,1449,2
3507,1450,5
3508,1451,20
3510,1301,2
3510,1453,5
3510,1478,3
3511,1061,33
3511,1077,29
3511,1146,13
3511,1347,71
3511,1451,94
3511,1454,18
3511,1475,19
3511,1479,17
3511,2403,37
3511,2952,16
3511,3368,35
3513,1463,3
3513,2906,1
3514,1428,2
3514,1594,1
3515,785,4
3515,1052,35
3515,1288,2
3515,1411,1
3515,1460,1
3515,1549,118
3516,1462,2
3516,1594,1
3517,366,6
3517,532,4
3517,1441,4
3517,1463,1
3517,1566,2
3517,1620,1
3518,1375,5
3518,1401,4
3518,1455,3
3518,1554,1
3518,1582,4
3519,1055,17
3519,1465,5
3520,1326,2
3520,1386,11
3520,3135,3
3522,1493,1
3522,1612,1
3522,2788,1
3523,1445,2
3523,1469,1
3523,2919,22
3525,1212,3
3525,1412,2
3525,1554,4
3525,1621,2
3525,2734,1
3526,646,13
3526,1229,13
3526,1473,3
3526,1617,28
3526,2938,20
3527,60,16
3527,69,14
3527,131,4
3527,271,22
3527,301,40
3527,335,21
3527,402,10
3527,416,23
3527,1300,29
3527,1323,7
3527,1435,4
3527,1476,1
3527,1611,4
3527,2639,18
3527,2906,83
3527,2920,2
3528,341,1
3528,1344,1
3528,1347,18
3528,1477,82
3528,2699,5
3529,1478,2
3529,1496,86
3530,1479,44
3531,3368,1
3532,1481,1
3533,298,131
3533,1278,8
3533,1326,287
3533,1483,1
3536,1568,11
3537,1487,1
3538,1490,121
3538,1580,3
3538,2788,2
3538,3608,2
3539,2906,2
3540,1492,5
3541,1493,5
3541,2916,1
3543,137,2
3543,1367,143
3543,1478,59
3543,1496,11
3543,1520,8
3543,1621,10
3543,2774,2
3543,2897,5
3543,2920,91
3543,3919,2
3544,673,1
3544,2906,2
3545,1498,5
3547,1500,2
3547,1571,1
3548,885,26
3548,1501,5
3549,1135,9
3549,1237,2
3549,1502,5
3551,1505,2
3552,1507,6
3554,3543,8
3555,1528,8
3555,1622,43
3558,1620,5
3559,1515,5
3560,1516,4
3561,311,6
3561,1495,7
3561,1517,4
3562,1554,6
3564,383,62
3564,1521,5
3566,1620,4
3567,1812,5
3568,1525,4
3568,2938,152
3569,1528,1
3572,36,48
3572,852,19
3572,872,12
3572,1532,4
3572,3007,47
3574,1539,2
3574,1562,3
3575,170,9
3575,520,5
3575,902,20
3575,1149,15
3575,1288,5
3575,1404,21
3575,1441,18
3575,1542,1
3575,1635,120
3575,3543,23
3576,1211,60
3576,1395,10
3576,3403,2
3577,885,1
3577,1544,4
3580,2903,3
3581,1560,3
3581,1605,1
3581,2299,51
3581,2329,12
3581,3594,10
3582,1390,13
3582,2686,15
3582,2906,6
3584,614,47
3584,1560,2
3585,1561,1
3587,2903,2
3589,1569,1
3590,275,59
3590,428,51
3590,563,65
3590,666,27
3590,1115,13
3590,1572,3
3591,1323,6
3591,1432,8
3591,1435,4
3591,1470,1
3591,2920,2
3594,428,68
3594,590,2
3594,677,54
3594,1286,7
3594,1506,5
3594,1560,2
3594,1572,3
3594,1599,61
3594,2715,2
3594,2788,18
3594,2897,5
3594,3398,5
3594,3919,65
3596,563,5
3596,634,26
3596,1425,23
3596,3547,1
3597,294,15
3597,1312,5
3597,1580,2
3597,1607,2
3598,1581,2
3599,228,51
3599,288,102
3599,406,14
3599,1493,21
3599,1505,12
3599,1510,1
3599,1547,4
3599,1599,20
3599,1611,16
3599,2638,1
3599,2906,88
3600,1566,2
3600,1611,1
3601,1587,2
3602,1623,2
3604,1618,1
3607,1594,1
3607,1595,1
3608,455,6
3608,562,2
3608,1490,2
3608,1611,1
3609,613,43
3609,1429,1
3609,1599,1
3609,1605,2
3609,1618,3
3610,1620,7
3611,1206,110
3611,1282,2
3611,1512,5
3611,1601,1
3612,472,14
3612,613,1
3612,1605,1
3613,492,268
3613,1568,4
3613,1584,43
3613,1591,1
3613,1616,1
3613,2920,1
3614,1608,1
3614,1612,4
3616,108,71
3616,1609,31
3616,1611,1
3616,2435,1
3617,1612,1
3618,76,6
3618,673,84
3618,1141,29
3618,1513,4
3618,1519,5
3618,1554,1
3618,1558,4
3618,2903,93
3618,2906,1
3618,2916,22
3618,3443,1
3619,1539,1
3619,1542,1
3619,1617,23
3620,1582,1
3620,1583,3
3620,1601,1
3620,1609,2
3620,1618,1
3621,520,95
3621,670,86
3621,3543,2
3622,1620,2
3623,1530,4
3623,1572,1
3623,1578,3
3623,1593,3
3623,1622,1
3623,3035,1
3624,1499,3
3624,1623,13
3624,1624,1
3624,2418,3
3625,1626,1
3626,1415,2
3626,1627,98
3627,1630,48
3627,2019,1
3628,839,11
3628,1017,14
3628,1033,18
3628,1268,18
3628,1332,19
3628,1428,134
3628,2488,1
3628,2905,33
3629,1288,6
3629,1403,2
3629,1435,2
3629,1630,1
3630,1631,1
3632,114,1
3632,180,3
3632,253,1
3632,526,1
3632,691,3
3632,955,2
3632,1178,1
3632,1366,82
3632,1483,115
3632,1633,6
3632,1635,13
3633,761,1
3633,1634,1
3633,1635,1
3633,2699,37
3633,2754,35
3634,543,4
3634,1165,31
3634,1308,25
3634,1354,25
3634,1451,34
